Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
Phosphate (HMDB0001429),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
O-Phosphoethanolamine (HMDB0000224),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phthalic acid (HMDB0002107),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phytanic acid (HMDB0000801),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phytol (HMDB0002019),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phytosphingosine (HMDB0004610),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pimelic acid (HMDB0000857),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Pinitol (HMDB0034219),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pipecolic acid (HMDB0000070),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Piperine (HMDB0029377),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Prolylglycine (HMDB0011178),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Prolylphenylalanine (HMDB0011179),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Prolyl-Tryptophan (HMDB0029028),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pseudoephedrine (HMDB0001943),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pseudouridine (HMDB0000767),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Putrescine (HMDB0001414),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyridoxal (HMDB0001545),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Pyridoxic acid (HMDB0000017),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyridoxine (HMDB0000239),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyro-L-glutaminyl-L-glutamine (HMDB0039229),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamylvaline (HMDB0094651),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyruvic acid (HMDB0000243),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Quinic acid (HMDB0003072),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Quinidine (HMDB0015044),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Rhamnose (HMDB0000849),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ribitol (HMDB0000508),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Riboflavin (HMDB0000244),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Ribose (HMDB0000283),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Ribulose (HMDB0003371),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Saccharin (HMDB0029723),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Saccharopine (HMDB0000279),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Salicylic acid (HMDB0001895),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Salicyluric beta-D-glucuronide (HMDB0240252),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sarcosine (HMDB0000271),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
scyllo-Inositol (HMDB0006088),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sebacic acid (HMDB0000792),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylisoleucine (HMDB0029042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylleucine (HMDB0029043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylproline (HMDB0029047),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylvaline (HMDB0029052),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sinapic acid (HMDB0032616),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methylindole (HMDB0000466),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Solanidine (HMDB0003236),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sorbitol (HMDB0000247),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Sorbose (HMDB0001266),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Spermidine (HMDB0001257),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphinganine (HMDB0000269),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphingosine (HMDB0000252),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Squalene (HMDB0000256),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Proline betaine (HMDB0004827),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octadecanamide (HMDB0034146),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearic acid (HMDB0000827),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearidonic acid (HMDB0006547),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearoylethanolamide (HMDB0013078),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
SM(d18:1/18:0) (HMDB0001348),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearoylcarnitine (HMDB0000848),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stigmasterol (HMDB0000937),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Suberic acid (HMDB0000893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Succinic acid (HMDB0000254),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sucrose (HMDB0000258),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Syringic acid (HMDB0002085),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurine (HMDB0000251),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurocholic acid (HMDB0000036),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lithocholyltaurine (HMDB0000722),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurolithocholic acid 3-sulfate (HMDB0002580),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tauroursodeoxycholic acid (HMDB0000874),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tetradecanedioic acid (HMDB0000872),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Theobromine (HMDB0002825),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Theophylline (HMDB0001889),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thiamine (HMDB0000235),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Threitol (HMDB0004136),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonic acid (HMDB0000943),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonic Acid (HMDB0062620),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymidine (HMDB0000273),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Thymidylic acid (HMDB0001227),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymine (HMDB0000262),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymol Sulfate (HMDB0062720),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxyproline (HMDB0000725),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Trans-urocanate (HMDB0062562),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,2,3-Propanetricarboxylic acid (HMDB0031193)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tricosanoic acid (HMDB0001160),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptamine (HMDB0000303),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tryptophan (HMDB0000929),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Tryptophan (HMDB0013609),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Alanine (HMDB0029076),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Glutamate (HMDB0029082),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Isoleucine (HMDB0029086),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Phenylalanine (HMDB0029090),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Proline (HMDB0029091),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Tryptophan (HMDB0029094),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Tyrosine (HMDB0029095),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Valine (HMDB0029096),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyramine (HMDB0000306),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tyrosine (HMDB0000158),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosol (HMDB0004284),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Alanine (HMDB0029098),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Glutamate (HMDB0029104),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Isoleucine (HMDB0029108),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Leucine (HMDB0029109),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Phenylalanine (HMDB0029112),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Tyrosine (HMDB0029117),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Valine (HMDB0029118),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Undecanedioic acid (HMDB0000888),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Undecanoic acid (HMDB0000947),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uracil (HMDB0000300),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uric acid (HMDB0000289),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urea (HMDB0000294),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uridine (HMDB0000296),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urobilinogen (HMDB0004158),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ursodeoxycholic acid (HMDB0000946),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ursolic acid (HMDB0002395),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Val-Val-Val (HMDB0094676),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valeric acid (HMDB0000892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylalanine (HMDB0029120),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylarginine (HMDB0029121),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglutamic acid (HMDB0029126),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglutamine (HMDB0029125),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglycine (HMDB0029127),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylisoleucine (HMDB0029130),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylleucine (HMDB0029131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyllysine (HMDB0029132),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylmethionine (HMDB0029133),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylphenylalanine (HMDB0029134),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylserine (HMDB0029136),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyltryptophan (HMDB0029138),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyltyrosine (HMDB0029139),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylvaline (HMDB0029140),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Vanillic acid (HMDB0000484),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Vanillin (HMDB0012308),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Vanillylmandelic acid (HMDB0000291),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Xanthine (HMDB0000292),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Xanthosine (HMDB0000299),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Xanthurenic acid (HMDB0000881),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Xylitol (HMDB0002917),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Xylonic acid (HMDB0060256),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Xylose (HMDB0000098),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Xylulose (HMDB0001644),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylacetic acid (HMDB0000209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Elaidic acid (HMDB0000573),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0) (HMDB0004666)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:0/0:0/0:0) (HMDB0011131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/14:0/0:0) (HMDB0011530),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/14:1(9Z)/0:0) (HMDB0011531),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/15:0/0:0) (HMDB0011532),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/16:0/0:0) (HMDB0011533),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/16:1(9Z)/0:0) (HMDB0011534),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/18:0/0:0) (HMDB0011535),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/18:1(11Z)/0:0) (HMDB0011536),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/18:1(9Z)/0:0) (HMDB0011537),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/18:2(9Z,12Z)/0:0) (HMDB0011538)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/18:3(6Z,9Z,12Z)/0:0) (HMDB0011539)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/18:3(9Z,12Z,15Z)/0:0) (HMDB0011540)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/18:4(6Z,9Z,12Z,15Z)/0:0) (HMDB0011541)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/20:0/0:0) (HMDB0011542),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/20:1(11Z)/0:0) (HMDB0011543),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/20:2(11Z,14Z)/0:0) (HMDB0011544)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/20:3(5Z,8Z,11Z)/0:0) (HMDB0011546)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/20:3(8Z,11Z,14Z)/0:0) (HMDB0011547)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/20:4(8Z,11Z,14Z,17Z)/0:0) (HMDB0011549)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) (HMDB0011550)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/22:0/0:0) (HMDB0011551),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/22:1(13Z)/0:0) (HMDB0011552),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/22:2(13Z,16Z)/0:0) (HMDB0011553)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/22:4(7Z,10Z,13Z,16Z)/0:0) (HMDB0011554)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) (HMDB0011555)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB0011556)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) (HMDB0011557)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/24:0/0:0) (HMDB0011558),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/24:1(15Z)/0:0) (HMDB0011559),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(14:0/0:0/0:0) (HMDB0011561),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(14:1(9Z)/0:0/0:0) (HMDB0011562),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(15:0/0:0/0:0) (HMDB0011563),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(16:0/0:0/0:0) (HMDB0011564),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(16:1(9Z)/0:0/0:0) (HMDB0011565),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:1(11Z)/0:0/0:0) (HMDB0011566),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:1(9Z)/0:0/0:0) (HMDB0011567),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(18:2(9Z,12Z)/0:0/0:0) (HMDB0011568)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(18:3(6Z,9Z,12Z)/0:0/0:0) (HMDB0011569)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(18:3(9Z,12Z,15Z)/0:0/0:0) (HMDB0011570)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(18:4(6Z,9Z,12Z,15Z)/0:0/0:0) (HMDB0011571)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(20:0/0:0/0:0) (HMDB0011572),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(20:1(11Z)/0:0/0:0) (HMDB0011573),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(20:2(11Z,14Z)/0:0/0:0) (HMDB0011574)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(20:3(5Z,8Z,11Z)/0:0/0:0) (HMDB0011576)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(20:3(8Z,11Z,14Z)/0:0/0:0) (HMDB0011577)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0) (HMDB0011578)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(20:4(8Z,11Z,14Z,17Z)/0:0/0:0) (HMDB0011579)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0) (HMDB0011580)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(22:0/0:0/0:0) (HMDB0011581),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(22:1(13Z)/0:0/0:0) (HMDB0011582),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(22:2(13Z,16Z)/0:0/0:0) (HMDB0011583)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(22:4(7Z,10Z,13Z,16Z)/0:0/0:0) (HMDB0011584)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(22:5(4Z,7Z,10Z,13Z,16Z)/0:0/0:0) (HMDB0011585)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(22:5(7Z,10Z,13Z,16Z,19Z)/0:0/0:0) (HMDB0011586)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0) (HMDB0011587)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(24:0/0:0/0:0) (HMDB0011588),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(24:1(15Z)/0:0/0:0) (HMDB0011589),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pantothenic acid (HMDB0000210),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristic acid (HMDB0000806),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isobutyric acid (HMDB0001873),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valeric acid (HMDB0000892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isovaleric acid (HMDB0000718),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Butyric acid (HMDB0000039),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propionic acid (HMDB0000237),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Glutamic acid (HMDB0003339),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-D-Glucose (HMDB0003345),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-D-Glucose (HMDB0003345),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-D-Glucose (HMDB0003345),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citric acid (HMDB0000094),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hippuric acid (HMDB0000714),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Cresol (HMDB0001858),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-alpha-Aminobutyric acid (HMDB0000452),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristic acid (HMDB0000806),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Putrescine (HMDB0001414),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Kynurenic acid (HMDB0000715),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-alpha-Aminobutyric acid (HMDB0000452),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Hydroxy-L-tryptophan (HMDB0000472),Urine,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
